"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1","Native",1,38,"disamb","fp","disamb fp",6,0,328,328,"Unambiguous","Consistent"
"3","Native",1,39,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent"
"5","Native",1,26,"disamb","fp","disamb fp",6,0,336,336,"Unambiguous","Consistent"
"7","Native",1,34,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent"
"9","Native",1,46,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent"
"11","Native",1,29,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent"
"13","Native",1,36,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"15","Native",1,30,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent"
"17","Native",1,40,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"19","Native",1,33,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent"
"21","Native",1,43,"disamb","fp","disamb fp",7,0,311,311,"Ambiguous","Inconsistent"
"23","Native",1,28,"disamb","fp","disamb fp",8,0,375,375,"Unambiguous","Inconsistent"
"25","Native",1,31,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent"
"27","Native",1,45,"disamb","fp","disamb fp",5,0,298,298,"Ambiguous","Consistent"
"29","Native",1,25,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent"
"31","Native",1,41,"disamb","fp","disamb fp",5,0,252,252,"Ambiguous","Consistent"
"33","Native",1,42,"disamb","fp","disamb fp",6,0,682,682,"Unambiguous","Consistent"
"35","Native",1,37,"disamb","fp","disamb fp",5,0,253,253,"Ambiguous","Consistent"
"37","Native",1,32,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"39","Native",1,48,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"41","Native",1,47,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent"
"43","Native",1,44,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"45","Native",1,27,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent"
"47","Native",1,35,"disamb","fp","disamb fp",7,0,201,201,"Ambiguous","Inconsistent"
"49","Native",2,46,"disamb","fp","disamb fp",7,0,159,159,"Ambiguous","Inconsistent"
"51","Native",2,25,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent"
"53","Native",2,39,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"55","Native",2,38,"disamb","fp","disamb fp",7,0,329,329,"Ambiguous","Inconsistent"
"57","Native",2,30,"disamb","fp","disamb fp",7,0,576,576,"Ambiguous","Inconsistent"
"59","Native",2,27,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent"
"61","Native",2,29,"disamb","fp","disamb fp",6,0,506,506,"Unambiguous","Consistent"
"63","Native",2,33,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent"
"65","Native",2,32,"disamb","fp","disamb fp",5,0,225,225,"Ambiguous","Consistent"
