"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"23041","Native",1,38,"disamb","tt","disamb tt",6,0,328,328,"Unambiguous","Consistent"
"23043","Native",1,39,"disamb","tt","disamb tt",7,0,1822,1822,"Ambiguous","Inconsistent"
"23045","Native",1,26,"disamb","tt","disamb tt",6,0,336,336,"Unambiguous","Consistent"
"23047","Native",1,34,"disamb","tt","disamb tt",6,0,283,283,"Unambiguous","Consistent"
"23049","Native",1,46,"disamb","tt","disamb tt",6,0,376,376,"Unambiguous","Consistent"
"23051","Native",1,29,"disamb","tt","disamb tt",5,0,485,485,"Ambiguous","Consistent"
"23053","Native",1,36,"disamb","tt","disamb tt",8,0,1782,1782,"Unambiguous","Inconsistent"
"23055","Native",1,30,"disamb","tt","disamb tt",6,0,546,546,"Unambiguous","Consistent"
"23057","Native",1,40,"disamb","tt","disamb tt",8,0,513,513,"Unambiguous","Inconsistent"
"23059","Native",1,33,"disamb","tt","disamb tt",5,0,558,558,"Ambiguous","Consistent"
"23061","Native",1,43,"disamb","tt","disamb tt",7,0,1409,1409,"Ambiguous","Inconsistent"
"23063","Native",1,28,"disamb","tt","disamb tt",8,0,732,732,"Unambiguous","Inconsistent"
"23065","Native",1,31,"disamb","tt","disamb tt",7,0,751,751,"Ambiguous","Inconsistent"
"23067","Native",1,45,"disamb","tt","disamb tt",5,0,298,298,"Ambiguous","Consistent"
"23069","Native",1,25,"disamb","tt","disamb tt",5,0,956,956,"Ambiguous","Consistent"
"23071","Native",1,41,"disamb","tt","disamb tt",5,0,752,752,"Ambiguous","Consistent"
"23073","Native",1,42,"disamb","tt","disamb tt",6,0,1555,1555,"Unambiguous","Consistent"
"23075","Native",1,37,"disamb","tt","disamb tt",5,0,1224,1224,"Ambiguous","Consistent"
"23077","Native",1,32,"disamb","tt","disamb tt",8,0,1022,1022,"Unambiguous","Inconsistent"
"23079","Native",1,48,"disamb","tt","disamb tt",8,0,269,269,"Unambiguous","Inconsistent"
"23081","Native",1,47,"disamb","tt","disamb tt",7,0,177,177,"Ambiguous","Inconsistent"
"23083","Native",1,44,"disamb","tt","disamb tt",8,0,405,405,"Unambiguous","Inconsistent"
"23085","Native",1,27,"disamb","tt","disamb tt",7,0,2518,2518,"Ambiguous","Inconsistent"
"23087","Native",1,35,"disamb","tt","disamb tt",7,0,1217,1217,"Ambiguous","Inconsistent"
"23089","Native",2,46,"disamb","tt","disamb tt",7,0,3285,3285,"Ambiguous","Inconsistent"
"23091","Native",2,25,"disamb","tt","disamb tt",6,0,343,343,"Unambiguous","Consistent"
"23093","Native",2,39,"disamb","tt","disamb tt",8,0,435,435,"Unambiguous","Inconsistent"
"23095","Native",2,38,"disamb","tt","disamb tt",7,0,1358,1358,"Ambiguous","Inconsistent"
"23097","Native",2,30,"disamb","tt","disamb tt",7,0,717,717,"Ambiguous","Inconsistent"
"23099","Native",2,27,"disamb","tt","disamb tt",8,0,1532,1532,"Unambiguous","Inconsistent"
"23101","Native",2,29,"disamb","tt","disamb tt",6,0,1452,1452,"Unambiguous","Consistent"
"23103","Native",2,33,"disamb","tt","disamb tt",6,0,159,159,"Unambiguous","Consistent"
"23105","Native",2,32,"disamb","tt","disamb tt",5,0,704,704,"Ambiguous","Consistent"
"23107","Native",2,43,"disamb","tt","disamb tt",8,0,606,606,"Unambiguous","Inconsistent"
"23109","Native",2,45,"disamb","tt","disamb tt",6,1,0,NA,"Unambiguous","Consistent"
"23111","Native",2,48,"disamb","tt","disamb tt",5,0,216,216,"Ambiguous","Consistent"
"23113","Native",2,47,"disamb","tt","disamb tt",8,0,621,621,"Unambiguous","Inconsistent"
"23115","Native",2,31,"disamb","tt","disamb tt",8,0,919,919,"Unambiguous","Inconsistent"
"23117","Native",2,26,"disamb","tt","disamb tt",7,0,989,989,"Ambiguous","Inconsistent"
"23119","Native",2,42,"disamb","tt","disamb tt",7,0,922,922,"Ambiguous","Inconsistent"
"23121","Native",2,36,"disamb","tt","disamb tt",5,0,377,377,"Ambiguous","Consistent"
"23123","Native",2,35,"disamb","tt","disamb tt",8,0,1023,1023,"Unambiguous","Inconsistent"
"23125","Native",2,44,"disamb","tt","disamb tt",5,0,208,208,"Ambiguous","Consistent"
"23127","Native",2,41,"disamb","tt","disamb tt",6,0,315,315,"Unambiguous","Consistent"
"23129","Native",2,37,"disamb","tt","disamb tt",6,0,209,209,"Unambiguous","Consistent"
"23131","Native",2,40,"disamb","tt","disamb tt",5,1,0,NA,"Ambiguous","Consistent"
"23133","Native",2,28,"disamb","tt","disamb tt",5,0,400,400,"Ambiguous","Consistent"
"23135","Native",2,34,"disamb","tt","disamb tt",7,0,301,301,"Ambiguous","Inconsistent"
"23138","Native",3,34,"disamb","tt","disamb tt",8,0,563,563,"Unambiguous","Inconsistent"
"23140","Native",3,30,"disamb","tt","disamb tt",8,0,1989,1989,"Unambiguous","Inconsistent"
"23142","Native",3,38,"disamb","tt","disamb tt",8,0,1665,1665,"Unambiguous","Inconsistent"
"23144","Native",3,43,"disamb","tt","disamb tt",5,0,835,835,"Ambiguous","Consistent"
"23146","Native",3,47,"disamb","tt","disamb tt",5,0,1686,1686,"Ambiguous","Consistent"
"23148","Native",3,25,"disamb","tt","disamb tt",7,0,849,849,"Ambiguous","Inconsistent"
"23150","Native",3,37,"disamb","tt","disamb tt",7,0,1657,1657,"Ambiguous","Inconsistent"
"23152","Native",3,40,"disamb","tt","disamb tt",6,0,1284,1284,"Unambiguous","Consistent"
"23154","Native",3,42,"disamb","tt","disamb tt",8,0,2422,2422,"Unambiguous","Inconsistent"
"23156","Native",3,33,"disamb","tt","disamb tt",7,0,416,416,"Ambiguous","Inconsistent"
"23158","Native",3,39,"disamb","tt","disamb tt",5,0,1204,1204,"Ambiguous","Consistent"
"23160","Native",3,41,"disamb","tt","disamb tt",7,0,917,917,"Ambiguous","Inconsistent"
"23162","Native",3,27,"disamb","tt","disamb tt",5,0,1220,1220,"Ambiguous","Consistent"
"23164","Native",3,29,"disamb","tt","disamb tt",7,0,1766,1766,"Ambiguous","Inconsistent"
"23166","Native",3,46,"disamb","tt","disamb tt",8,0,946,946,"Unambiguous","Inconsistent"
"23168","Native",3,28,"disamb","tt","disamb tt",6,0,785,785,"Unambiguous","Consistent"
"23170","Native",3,35,"disamb","tt","disamb tt",5,0,2351,2351,"Ambiguous","Consistent"
"23172","Native",3,45,"disamb","tt","disamb tt",7,0,1128,1128,"Ambiguous","Inconsistent"
"23174","Native",3,32,"disamb","tt","disamb tt",6,0,1633,1633,"Unambiguous","Consistent"
"23176","Native",3,26,"disamb","tt","disamb tt",8,0,2004,2004,"Unambiguous","Inconsistent"
"23178","Native",3,36,"disamb","tt","disamb tt",6,0,925,925,"Unambiguous","Consistent"
"23180","Native",3,31,"disamb","tt","disamb tt",5,0,971,971,"Ambiguous","Consistent"
"23182","Native",3,48,"disamb","tt","disamb tt",6,0,1329,1329,"Unambiguous","Consistent"
"23184","Native",3,44,"disamb","tt","disamb tt",6,0,502,502,"Unambiguous","Consistent"
"23186","Native",4,43,"disamb","tt","disamb tt",6,0,594,594,"Unambiguous","Consistent"
"23188","Native",4,33,"disamb","tt","disamb tt",8,0,491,491,"Unambiguous","Inconsistent"
"23190","Native",4,29,"disamb","tt","disamb tt",8,0,211,211,"Unambiguous","Inconsistent"
"23192","Native",4,41,"disamb","tt","disamb tt",8,0,183,183,"Unambiguous","Inconsistent"
"23194","Native",4,26,"disamb","tt","disamb tt",5,0,498,498,"Ambiguous","Consistent"
"23196","Native",4,28,"disamb","tt","disamb tt",7,0,375,375,"Ambiguous","Inconsistent"
"23198","Native",4,25,"disamb","tt","disamb tt",8,0,273,273,"Unambiguous","Inconsistent"
"23200","Native",4,34,"disamb","tt","disamb tt",5,0,347,347,"Ambiguous","Consistent"
"23202","Native",4,38,"disamb","tt","disamb tt",5,0,262,262,"Ambiguous","Consistent"
"23204","Native",4,30,"disamb","tt","disamb tt",5,0,194,194,"Ambiguous","Consistent"
"23206","Native",4,48,"disamb","tt","disamb tt",7,0,166,166,"Ambiguous","Inconsistent"
"23208","Native",4,27,"disamb","tt","disamb tt",6,0,393,393,"Unambiguous","Consistent"
"23210","Native",4,35,"disamb","tt","disamb tt",6,0,661,661,"Unambiguous","Consistent"
"23212","Native",4,45,"disamb","tt","disamb tt",8,0,293,293,"Unambiguous","Inconsistent"
"23214","Native",4,42,"disamb","tt","disamb tt",5,0,277,277,"Ambiguous","Consistent"
"23216","Native",4,47,"disamb","tt","disamb tt",6,0,218,218,"Unambiguous","Consistent"
"23218","Native",4,39,"disamb","tt","disamb tt",6,0,303,303,"Unambiguous","Consistent"
"23220","Native",4,44,"disamb","tt","disamb tt",7,0,187,187,"Ambiguous","Inconsistent"
"23222","Native",4,32,"disamb","tt","disamb tt",7,0,837,837,"Ambiguous","Inconsistent"
"23224","Native",4,37,"disamb","tt","disamb tt",8,0,231,231,"Unambiguous","Inconsistent"
"23226","Native",4,46,"disamb","tt","disamb tt",5,1,0,NA,"Ambiguous","Consistent"
"23228","Native",4,31,"disamb","tt","disamb tt",6,0,293,293,"Unambiguous","Consistent"
"23230","Native",4,40,"disamb","tt","disamb tt",7,0,565,565,"Ambiguous","Inconsistent"
"23232","Native",4,36,"disamb","tt","disamb tt",7,0,321,321,"Ambiguous","Inconsistent"
"23233","Native",5,39,"disamb","tt","disamb tt",7,0,1034,1034,"Ambiguous","Inconsistent"
"23235","Native",5,33,"disamb","tt","disamb tt",5,0,429,429,"Ambiguous","Consistent"
"23237","Native",5,30,"disamb","tt","disamb tt",6,0,308,308,"Unambiguous","Consistent"
"23239","Native",5,46,"disamb","tt","disamb tt",6,0,754,754,"Unambiguous","Consistent"
"23241","Native",5,25,"disamb","tt","disamb tt",5,0,803,803,"Ambiguous","Consistent"
"23243","Native",5,42,"disamb","tt","disamb tt",6,0,257,257,"Unambiguous","Consistent"
"23245","Native",5,41,"disamb","tt","disamb tt",5,0,406,406,"Ambiguous","Consistent"
"23247","Native",5,36,"disamb","tt","disamb tt",8,1,0,NA,"Unambiguous","Inconsistent"
"23249","Native",5,34,"disamb","tt","disamb tt",6,0,212,212,"Unambiguous","Consistent"
"23251","Native",5,35,"disamb","tt","disamb tt",7,1,0,NA,"Ambiguous","Inconsistent"
"23253","Native",5,43,"disamb","tt","disamb tt",7,0,443,443,"Ambiguous","Inconsistent"
"23255","Native",5,47,"disamb","tt","disamb tt",7,0,778,778,"Ambiguous","Inconsistent"
"23257","Native",5,38,"disamb","tt","disamb tt",6,0,267,267,"Unambiguous","Consistent"
"23259","Native",5,27,"disamb","tt","disamb tt",7,1,0,NA,"Ambiguous","Inconsistent"
"23261","Native",5,45,"disamb","tt","disamb tt",5,0,215,215,"Ambiguous","Consistent"
"23263","Native",5,37,"disamb","tt","disamb tt",5,0,131,131,"Ambiguous","Consistent"
"23265","Native",5,48,"disamb","tt","disamb tt",8,1,0,NA,"Unambiguous","Inconsistent"
"23267","Native",5,44,"disamb","tt","disamb tt",8,0,109,109,"Unambiguous","Inconsistent"
"23269","Native",5,26,"disamb","tt","disamb tt",6,0,164,164,"Unambiguous","Consistent"
"23271","Native",5,32,"disamb","tt","disamb tt",8,0,448,448,"Unambiguous","Inconsistent"
"23273","Native",5,28,"disamb","tt","disamb tt",8,1,0,NA,"Unambiguous","Inconsistent"
"23275","Native",5,31,"disamb","tt","disamb tt",7,1,0,NA,"Ambiguous","Inconsistent"
"23277","Native",5,29,"disamb","tt","disamb tt",5,0,244,244,"Ambiguous","Consistent"
"23279","Native",5,40,"disamb","tt","disamb tt",8,0,190,190,"Unambiguous","Inconsistent"
"23282","Native",6,30,"disamb","tt","disamb tt",7,0,270,270,"Ambiguous","Inconsistent"
"23284","Native",6,35,"disamb","tt","disamb tt",8,0,132,132,"Unambiguous","Inconsistent"
"23286","Native",6,43,"disamb","tt","disamb tt",8,0,264,264,"Unambiguous","Inconsistent"
"23288","Native",6,36,"disamb","tt","disamb tt",5,0,147,147,"Ambiguous","Consistent"
"23290","Native",6,32,"disamb","tt","disamb tt",5,1,0,NA,"Ambiguous","Consistent"
"23292","Native",6,37,"disamb","tt","disamb tt",6,1,0,NA,"Unambiguous","Consistent"
"23294","Native",6,47,"disamb","tt","disamb tt",8,0,365,365,"Unambiguous","Inconsistent"
"23296","Native",6,33,"disamb","tt","disamb tt",6,0,360,360,"Unambiguous","Consistent"
"23298","Native",6,41,"disamb","tt","disamb tt",6,0,182,182,"Unambiguous","Consistent"
"23300","Native",6,26,"disamb","tt","disamb tt",7,0,298,298,"Ambiguous","Inconsistent"
"23302","Native",6,39,"disamb","tt","disamb tt",8,0,132,132,"Unambiguous","Inconsistent"
"23304","Native",6,38,"disamb","tt","disamb tt",7,0,102,102,"Ambiguous","Inconsistent"
"23306","Native",6,25,"disamb","tt","disamb tt",6,0,265,265,"Unambiguous","Consistent"
"23308","Native",6,34,"disamb","tt","disamb tt",7,0,179,179,"Ambiguous","Inconsistent"
"23310","Native",6,27,"disamb","tt","disamb tt",8,0,350,350,"Unambiguous","Inconsistent"
"23312","Native",6,48,"disamb","tt","disamb tt",5,1,0,NA,"Ambiguous","Consistent"
"23314","Native",6,28,"disamb","tt","disamb tt",5,0,331,331,"Ambiguous","Consistent"
"23316","Native",6,31,"disamb","tt","disamb tt",8,0,183,183,"Unambiguous","Inconsistent"
"23318","Native",6,46,"disamb","tt","disamb tt",7,0,479,479,"Ambiguous","Inconsistent"
"23320","Native",6,40,"disamb","tt","disamb tt",5,0,559,559,"Ambiguous","Consistent"
