"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2","Native",1,24,"disamb","fp","disamb fp",4,0,188,188,"Unambiguous","Mismatch"
"4","Native",1,12,"disamb","fp","disamb fp",4,0,192,192,"Unambiguous","Mismatch"
"6","Native",1,6,"disamb","fp","disamb fp",2,0,344,344,"Ambiguous","Mismatch"
"8","Native",1,7,"disamb","fp","disamb fp",3,0,186,186,"Unambiguous","Match"
"10","Native",1,14,"disamb","fp","disamb fp",2,0,303,303,"Ambiguous","Mismatch"
"12","Native",1,21,"disamb","fp","disamb fp",1,0,191,191,"Ambiguous","Match"
"14","Native",1,19,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"16","Native",1,17,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match"
"18","Native",1,10,"disamb","fp","disamb fp",2,0,513,513,"Ambiguous","Mismatch"
"20","Native",1,23,"disamb","fp","disamb fp",3,0,449,449,"Unambiguous","Match"
"22","Native",1,15,"disamb","fp","disamb fp",3,0,348,348,"Unambiguous","Match"
"24","Native",1,1,"disamb","fp","disamb fp",1,0,201,201,"Ambiguous","Match"
"26","Native",1,2,"disamb","fp","disamb fp",2,0,276,276,"Ambiguous","Mismatch"
"28","Native",1,5,"disamb","fp","disamb fp",1,0,347,347,"Ambiguous","Match"
"30","Native",1,16,"disamb","fp","disamb fp",4,0,264,264,"Unambiguous","Mismatch"
"32","Native",1,3,"disamb","fp","disamb fp",3,0,203,203,"Unambiguous","Match"
"34","Native",1,13,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match"
"36","Native",1,11,"disamb","fp","disamb fp",3,0,451,451,"Unambiguous","Match"
"38","Native",1,9,"disamb","fp","disamb fp",1,0,335,335,"Ambiguous","Match"
"40","Native",1,8,"disamb","fp","disamb fp",4,0,289,289,"Unambiguous","Mismatch"
"42","Native",1,4,"disamb","fp","disamb fp",4,0,253,253,"Unambiguous","Mismatch"
"44","Native",1,20,"disamb","fp","disamb fp",4,0,381,381,"Unambiguous","Mismatch"
"46","Native",1,18,"disamb","fp","disamb fp",2,0,234,234,"Ambiguous","Mismatch"
"48","Native",1,22,"disamb","fp","disamb fp",2,0,170,170,"Ambiguous","Mismatch"
"50","Native",2,14,"disamb","fp","disamb fp",3,0,199,199,"Unambiguous","Match"
"52","Native",2,4,"disamb","fp","disamb fp",1,0,323,323,"Ambiguous","Match"
"54","Native",2,19,"disamb","fp","disamb fp",4,0,250,250,"Unambiguous","Mismatch"
"56","Native",2,1,"disamb","fp","disamb fp",2,0,194,194,"Ambiguous","Mismatch"
"58","Native",2,5,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"60","Native",2,15,"disamb","fp","disamb fp",4,0,178,178,"Unambiguous","Mismatch"
"62","Native",2,7,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Mismatch"
"64","Native",2,18,"disamb","fp","disamb fp",3,0,210,210,"Unambiguous","Match"
"66","Native",2,6,"disamb","fp","disamb fp",3,0,369,369,"Unambiguous","Match"
"68","Native",2,22,"disamb","fp","disamb fp",3,0,302,302,"Unambiguous","Match"
"70","Native",2,10,"disamb","fp","disamb fp",3,0,552,552,"Unambiguous","Match"
"72","Native",2,8,"disamb","fp","disamb fp",1,0,307,307,"Ambiguous","Match"
"74","Native",2,24,"disamb","fp","disamb fp",1,0,448,448,"Ambiguous","Match"
"76","Native",2,17,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"78","Native",2,2,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"80","Native",2,11,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"82","Native",2,3,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"84","Native",2,21,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"86","Native",2,20,"disamb","fp","disamb fp",1,0,244,244,"Ambiguous","Match"
"88","Native",2,16,"disamb","fp","disamb fp",1,0,142,142,"Ambiguous","Match"
"90","Native",2,13,"disamb","fp","disamb fp",2,0,321,321,"Ambiguous","Mismatch"
"92","Native",2,9,"disamb","fp","disamb fp",2,0,253,253,"Ambiguous","Mismatch"
"94","Native",2,12,"disamb","fp","disamb fp",1,0,269,269,"Ambiguous","Match"
"96","Native",2,23,"disamb","fp","disamb fp",4,0,391,391,"Unambiguous","Mismatch"
"97","Native",3,11,"disamb","fp","disamb fp",1,0,177,177,"Ambiguous","Match"
"99","Native",3,21,"disamb","fp","disamb fp",3,0,145,145,"Unambiguous","Match"
"101","Native",3,2,"disamb","fp","disamb fp",4,0,269,269,"Unambiguous","Mismatch"
"103","Native",3,20,"disamb","fp","disamb fp",2,0,338,338,"Ambiguous","Mismatch"
"105","Native",3,9,"disamb","fp","disamb fp",3,0,347,347,"Unambiguous","Match"
"107","Native",3,4,"disamb","fp","disamb fp",2,0,135,135,"Ambiguous","Mismatch"
"109","Native",3,3,"disamb","fp","disamb fp",1,0,674,674,"Ambiguous","Match"
"111","Native",3,1,"disamb","fp","disamb fp",3,0,477,477,"Unambiguous","Match"
"113","Native",3,13,"disamb","fp","disamb fp",3,0,458,458,"Unambiguous","Match"
"115","Native",3,18,"disamb","fp","disamb fp",4,0,305,305,"Unambiguous","Mismatch"
"117","Native",3,7,"disamb","fp","disamb fp",1,0,210,210,"Ambiguous","Match"
"119","Native",3,5,"disamb","fp","disamb fp",3,0,400,400,"Unambiguous","Match"
"121","Native",3,15,"disamb","fp","disamb fp",1,0,267,267,"Ambiguous","Match"
"123","Native",3,16,"disamb","fp","disamb fp",2,0,149,149,"Ambiguous","Mismatch"
"125","Native",3,8,"disamb","fp","disamb fp",2,0,222,222,"Ambiguous","Mismatch"
"127","Native",3,22,"disamb","fp","disamb fp",4,0,320,320,"Unambiguous","Mismatch"
"129","Native",3,17,"disamb","fp","disamb fp",3,0,409,409,"Unambiguous","Match"
"131","Native",3,19,"disamb","fp","disamb fp",1,0,862,862,"Ambiguous","Match"
"133","Native",3,23,"disamb","fp","disamb fp",1,0,675,675,"Ambiguous","Match"
"135","Native",3,14,"disamb","fp","disamb fp",4,0,393,393,"Unambiguous","Mismatch"
"137","Native",3,24,"disamb","fp","disamb fp",2,0,182,182,"Ambiguous","Mismatch"
"139","Native",3,10,"disamb","fp","disamb fp",4,0,653,653,"Unambiguous","Mismatch"
"141","Native",3,12,"disamb","fp","disamb fp",2,0,322,322,"Ambiguous","Mismatch"
"143","Native",3,6,"disamb","fp","disamb fp",4,0,526,526,"Unambiguous","Mismatch"
"145","Native",4,21,"disamb","fp","disamb fp",4,0,157,157,"Unambiguous","Mismatch"
"147","Native",4,14,"disamb","fp","disamb fp",1,0,334,334,"Ambiguous","Match"
"149","Native",4,22,"disamb","fp","disamb fp",1,0,197,197,"Ambiguous","Match"
"151","Native",4,11,"disamb","fp","disamb fp",2,0,171,171,"Ambiguous","Mismatch"
"153","Native",4,15,"disamb","fp","disamb fp",2,0,290,290,"Ambiguous","Mismatch"
"155","Native",4,23,"disamb","fp","disamb fp",2,0,172,172,"Ambiguous","Mismatch"
"157","Native",4,18,"disamb","fp","disamb fp",1,0,169,169,"Ambiguous","Match"
"159","Native",4,6,"disamb","fp","disamb fp",1,0,166,166,"Ambiguous","Match"
"161","Native",4,10,"disamb","fp","disamb fp",1,0,155,155,"Ambiguous","Match"
"163","Native",4,12,"disamb","fp","disamb fp",3,0,148,148,"Unambiguous","Match"
"165","Native",4,19,"disamb","fp","disamb fp",2,0,314,314,"Ambiguous","Mismatch"
"167","Native",4,1,"disamb","fp","disamb fp",4,0,140,140,"Unambiguous","Mismatch"
"169","Native",4,20,"disamb","fp","disamb fp",3,0,234,234,"Unambiguous","Match"
"171","Native",4,16,"disamb","fp","disamb fp",3,0,160,160,"Unambiguous","Match"
"173","Native",4,2,"disamb","fp","disamb fp",1,0,236,236,"Ambiguous","Match"
"175","Native",4,5,"disamb","fp","disamb fp",4,0,155,155,"Unambiguous","Mismatch"
"177","Native",4,17,"disamb","fp","disamb fp",4,0,230,230,"Unambiguous","Mismatch"
"179","Native",4,24,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"181","Native",4,13,"disamb","fp","disamb fp",4,0,422,422,"Unambiguous","Mismatch"
"183","Native",4,8,"disamb","fp","disamb fp",3,0,214,214,"Unambiguous","Match"
"185","Native",4,9,"disamb","fp","disamb fp",4,0,440,440,"Unambiguous","Mismatch"
"187","Native",4,7,"disamb","fp","disamb fp",2,0,208,208,"Ambiguous","Mismatch"
"189","Native",4,4,"disamb","fp","disamb fp",3,0,346,346,"Unambiguous","Match"
"191","Native",4,3,"disamb","fp","disamb fp",2,0,439,439,"Ambiguous","Mismatch"
"194","Native",5,8,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"196","Native",5,4,"disamb","fp","disamb fp",4,0,376,376,"Unambiguous","Mismatch"
"198","Native",5,19,"disamb","fp","disamb fp",3,0,169,169,"Unambiguous","Match"
"200","Native",5,21,"disamb","fp","disamb fp",1,0,361,361,"Ambiguous","Match"
"202","Native",5,13,"disamb","fp","disamb fp",1,0,186,186,"Ambiguous","Match"
"204","Native",5,9,"disamb","fp","disamb fp",1,0,219,219,"Ambiguous","Match"
"206","Native",5,3,"disamb","fp","disamb fp",3,0,189,189,"Unambiguous","Match"
"208","Native",5,12,"disamb","fp","disamb fp",4,0,201,201,"Unambiguous","Mismatch"
"210","Native",5,2,"disamb","fp","disamb fp",2,0,266,266,"Ambiguous","Mismatch"
"212","Native",5,15,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"214","Native",5,5,"disamb","fp","disamb fp",1,0,256,256,"Ambiguous","Match"
"216","Native",5,7,"disamb","fp","disamb fp",3,0,185,185,"Unambiguous","Match"
"218","Native",5,22,"disamb","fp","disamb fp",2,0,271,271,"Ambiguous","Mismatch"
"220","Native",5,17,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match"
"222","Native",5,16,"disamb","fp","disamb fp",4,0,228,228,"Unambiguous","Mismatch"
"224","Native",5,1,"disamb","fp","disamb fp",1,0,299,299,"Ambiguous","Match"
"226","Native",5,14,"disamb","fp","disamb fp",2,0,201,201,"Ambiguous","Mismatch"
"228","Native",5,24,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"230","Native",5,23,"disamb","fp","disamb fp",3,0,537,537,"Unambiguous","Match"
"232","Native",5,18,"disamb","fp","disamb fp",2,0,198,198,"Ambiguous","Mismatch"
"234","Native",5,11,"disamb","fp","disamb fp",3,0,410,410,"Unambiguous","Match"
"236","Native",5,20,"disamb","fp","disamb fp",4,0,229,229,"Unambiguous","Mismatch"
"238","Native",5,10,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
